epoch,train_loss,val_auc
1,1.209426813451733,0.6336128458789991
2,1.1926083600135107,0.6354187341977313
3,1.190162636364191,0.6358722182583256
4,1.189305874444235,0.6363068913627468
5,1.1876997226099766,0.6368267068726808
6,1.1875170317234083,0.6377426604214779
7,1.1862930254825401,0.6377475792734482
8,1.1861957512762613,0.6373377317610247
9,1.1855435434011186,0.6381179298655962
10,1.1855079071258658,0.6387637605188249
11,1.184925237340622,0.6386851075888074
12,1.1841698108577836,0.6390229621019745
13,1.183982673607628,0.6388076162237667
14,1.1832514647558234,0.6391757995989577
15,1.1830621994385724,0.6384274035769258
16,1.1823408668799018,0.6398246619208512
17,1.1822723750926842,0.6402286409019635
18,1.1820226637659825,0.6405267671627085
19,1.1815950347944624,0.6389812370878614
20,1.181101366916359,0.6404842263983924
