epoch,train_loss,val_auc
1,1.2073282107600285,0.6336127119498614
2,1.192787896817787,0.6348349736121855
3,1.1897552781027025,0.6359278232012653
4,1.1891302232548322,0.6364217660368514
5,1.188158644661355,0.6368917720828997
6,1.1870250890619636,0.6370654903500039
7,1.1864421423053306,0.6373722976539535
8,1.1848995427689857,0.6372255721958044
9,1.1848444351310994,0.6379055426037961
10,1.1849493247422576,0.6375472212832978
11,1.1831552096738784,0.6375617343316848
12,1.1826721859383582,0.6369090976431809
13,1.1827064790474087,0.6388106844185598
14,1.181869950893909,0.640010263355091
15,1.1814435874719393,0.6391049997865657
16,1.1811511823335972,0.6402046919370495
17,1.1810018361560697,0.6399065778516806
18,1.179839979300234,0.6397003148040911
19,1.179511388080428,0.6392686611929586
20,1.1787293679543294,0.6415857692060531
